2.500000000000000000e+00,2.350000000000000089e+00,2.180000000000000160e+00,1.469999999999999973e+00,1.370000000000000107e+00,1.250000000000000000e+00,1.090000000000000080e+00,1.060000000000000053e+00,1.030000000000000027e+00
2.910000000000000142e+00,2.640000000000000124e+00,2.350000000000000089e+00,1.719999999999999973e+00,1.560000000000000053e+00,1.370000000000000107e+00,1.179999999999999938e+00,1.120000000000000107e+00,1.060000000000000053e+00
3.649999999999999911e+00,3.169999999999999929e+00,2.640000000000000124e+00,2.129999999999999893e+00,1.860000000000000098e+00,1.560000000000000053e+00,1.340000000000000080e+00,1.239999999999999991e+00,1.120000000000000107e+00
5.650000000000000355e+00,4.559999999999999609e+00,3.410000000000000142e+00,3.189999999999999947e+00,2.620000000000000107e+00,2.000000000000000000e+00,1.770000000000000018e+00,1.540000000000000036e+00,1.290000000000000036e+00
8.769999999999999574e+00,6.700000000000000178e+00,4.559999999999999609e+00,4.790000000000000036e+00,3.729999999999999982e+00,2.620000000000000107e+00,2.439999999999999947e+00,2.000000000000000000e+00,1.540000000000000036e+00
1.183000000000000007e+01,8.769999999999999574e+00,5.650000000000000355e+00,6.339999999999999858e+00,4.790000000000000036e+00,3.189999999999999947e+00,3.069999999999999840e+00,2.439999999999999947e+00,1.770000000000000018e+00
3.649999999999999911e+00,3.169999999999999929e+00,2.640000000000000124e+00,2.129999999999999893e+00,1.860000000000000098e+00,1.560000000000000053e+00,1.340000000000000080e+00,1.239999999999999991e+00,1.120000000000000107e+00
2.500000000000000000e+00,2.229999999999999982e+00,1.919999999999999929e+00,1.860000000000000098e+00,1.669999999999999929e+00,1.439999999999999947e+00,1.320000000000000062e+00,1.229999999999999982e+00,1.120000000000000107e+00
2.100000000000000089e+00,1.899999999999999911e+00,1.669999999999999929e+00,1.719999999999999973e+00,1.560000000000000053e+00,1.370000000000000107e+00,1.300000000000000044e+00,1.219999999999999973e+00,1.120000000000000107e+00
1.669999999999999929e+00,1.540000000000000036e+00,1.399999999999999911e+00,1.510000000000000009e+00,1.399999999999999911e+00,1.270000000000000018e+00,1.270000000000000018e+00,1.189999999999999947e+00,1.110000000000000098e+00
2.310000000000000053e+00,1.889999999999999902e+00,1.459999999999999964e+00,1.639999999999999902e+00,1.429999999999999938e+00,1.219999999999999973e+00,1.250000000000000000e+00,1.169999999999999929e+00,1.080000000000000071e+00
2.850000000000000089e+00,2.379999999999999893e+00,1.860000000000000098e+00,1.830000000000000071e+00,1.580000000000000071e+00,1.320000000000000062e+00,1.280000000000000027e+00,1.189999999999999947e+00,1.100000000000000089e+00
3.649999999999999911e+00,3.169999999999999929e+00,2.640000000000000124e+00,2.129999999999999893e+00,1.860000000000000098e+00,1.560000000000000053e+00,1.340000000000000080e+00,1.239999999999999991e+00,1.120000000000000107e+00
6.419999999999999929e+00,5.959999999999999964e+00,5.490000000000000213e+00,3.350000000000000089e+00,3.089999999999999858e+00,2.810000000000000053e+00,1.620000000000000107e+00,1.489999999999999991e+00,1.330000000000000071e+00
