Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,9190.7197265625,9299.849609375,9188.5498046875,9273.400390625,9273.400390625,2427320000
2020-02-04,9398.3896484375,9485.3798828125,9374.0498046875,9467.9697265625,9467.9697265625,2447340000
2020-02-05,9574.099609375,9574.9404296875,9454.9296875,9508.6796875,9508.6796875,2470240000
2020-02-06,9540.98046875,9575.66015625,9505.6796875,9572.150390625,9572.150390625,2313860000
2020-02-07,9526.6396484375,9570.08984375,9496.5302734375,9520.509765625,9520.509765625,2243720000
2020-02-10,9493.6298828125,9628.66015625,9493.6298828125,9628.3896484375,9628.3896484375,2187520000
2020-02-11,9680.8896484375,9714.740234375,9617.2099609375,9638.9404296875,9638.9404296875,2450070000
2020-02-12,9688.599609375,9728.76953125,9666.6904296875,9725.9599609375,9725.9599609375,2366510000
2020-02-13,9657.0400390625,9748.3203125,9650.01953125,9711.9697265625,9711.9697265625,2254870000
2020-02-14,9728.900390625,9746.3603515625,9693.0498046875,9731.1796875,9731.1796875,2226720000
2020-02-18,9679.0400390625,9747.6796875,9675.7998046875,9732.740234375,9732.740234375,2279420000
2020-02-19,9782.8095703125,9838.3701171875,9777.099609375,9817.1796875,9817.1796875,2470860000
2020-02-20,9799.2001953125,9820.8603515625,9636.9404296875,9750.9697265625,9750.9697265625,2745730000
2020-02-21,9708.009765625,9715.9501953125,9542.330078125,9576.58984375,9576.58984375,2750160000
2020-02-24,9188.4404296875,9322.8798828125,9166.009765625,9221.2802734375,9221.2802734375,3188590000
2020-02-25,9301.2001953125,9315.259765625,8940.490234375,8965.6103515625,8965.6103515625,3595520000
2020-02-26,9011.5498046875,9148.3203125,8927.7998046875,8980.7802734375,8980.7802734375,3587950000
2020-02-27,8744.0302734375,8904.1103515625,8562.0498046875,8566.48046875,8566.48046875,4559900000
2020-02-28,8269.740234375,8591.8203125,8264.16015625,8567.3701171875,8567.3701171875,5320020000
2020-03-02,8667.1396484375,8952.8095703125,8543.349609375,8952.169921875,8952.169921875,4249020000
2020-03-03,8965.099609375,9070.3203125,8602.8896484375,8684.08984375,8684.08984375,4336700000
2020-03-04,8834.099609375,9019.9599609375,8757.66015625,9018.08984375,9018.08984375,3634760000
2020-03-05,8790.08984375,8921.080078125,8677.3896484375,8738.58984375,8738.58984375,3763860000
2020-03-06,8469.01953125,8612.3603515625,8375.1298828125,8575.6201171875,8575.6201171875,4292730000
2020-03-09,7957.93017578125,8243.3095703125,7943.16015625,7950.68017578125,7950.68017578125,4554110000
2020-03-10,8219.759765625,8347.400390625,7930.43017578125,8344.25,8344.25,4447260000
2020-03-11,8136.25,8181.35986328125,7850.9501953125,7952.0498046875,7952.0498046875,4302610000
2020-03-12,7398.580078125,7712.330078125,7194.669921875,7201.7998046875,7201.7998046875,5099350000
2020-03-13,7610.39013671875,7875.93017578125,7219.08984375,7874.8798828125,7874.8798828125,4701070000
2020-03-16,7392.72998046875,7422.2001953125,6882.85986328125,6904.58984375,6904.58984375,4618120000
2020-03-17,7072.0,7406.22998046875,6828.91015625,7334.77978515625,7334.77978515625,4920210000
2020-03-18,6902.31982421875,7182.830078125,6686.35986328125,6989.83984375,6989.83984375,4935000000
2020-03-19,6996.4501953125,7341.3798828125,6858.3798828125,7150.580078125,7150.580078125,4778490000
2020-03-20,7248.06982421875,7354.43994140625,6854.669921875,6879.52001953125,6879.52001953125,5260300000
2020-03-23,6847.27978515625,6984.93994140625,6631.419921875,6860.669921875,6860.669921875,4348410000
2020-03-24,7196.14990234375,7418.3701171875,7169.85986328125,7417.85986328125,7417.85986328125,4441080000
2020-03-25,7421.35986328125,7671.2099609375,7276.39990234375,7384.2998046875,7384.2998046875,4683630000
2020-03-26,7462.2099609375,7809.830078125,7462.2099609375,7797.5400390625,7797.5400390625,4014670000
2020-03-27,7554.25,7716.240234375,7491.14013671875,7502.3798828125,7502.3798828125,3989120000
2020-03-30,7583.4599609375,7784.35009765625,7539.97021484375,7774.14990234375,7774.14990234375,3870770000
2020-03-31,7740.06005859375,7880.31005859375,7642.85986328125,7700.10009765625,7700.10009765625,4078960000
2020-04-01,7459.5,7566.3701171875,7301.97998046875,7360.580078125,7360.580078125,3700040000
2020-04-02,7317.4501953125,7501.7001953125,7307.9501953125,7487.31005859375,7487.31005859375,3622170000
2020-04-03,7477.27001953125,7518.72021484375,7288.10986328125,7373.080078125,7373.080078125,3294260000
2020-04-06,7660.169921875,7938.330078125,7617.7900390625,7913.240234375,7913.240234375,3849130000
2020-04-07,8129.990234375,8146.43017578125,7881.22021484375,7887.259765625,7887.259765625,4085960000
2020-04-08,7975.72021484375,8114.43017578125,7901.93994140625,8090.89990234375,8090.89990234375,3487440000
2020-04-09,8169.009765625,8227.91015625,8072.31982421875,8153.580078125,8153.580078125,4145460000
2020-04-13,8127.68994140625,8200.4404296875,8035.9501953125,8192.419921875,8192.419921875,3184660000
2020-04-14,8353.2099609375,8531.1103515625,8338.080078125,8515.740234375,8515.740234375,3767410000
2020-04-15,8355.9599609375,8464.66015625,8308.7900390625,8393.1796875,8393.1796875,3347920000
2020-04-16,8479.1103515625,8560.16015625,8393.26953125,8532.3603515625,8532.3603515625,4057800000
2020-04-17,8667.48046875,8670.2998046875,8531.6904296875,8650.1396484375,8650.1396484375,4348310000
2020-04-20,8553.3798828125,8684.91015625,8553.3798828125,8560.73046875,8560.73046875,3827370000
2020-04-21,8460.6904296875,8480.2900390625,8215.6904296875,8263.23046875,8263.23046875,3788180000
2020-04-22,8434.5498046875,8537.3095703125,8404.5400390625,8495.3798828125,8495.3798828125,3041520000
2020-04-23,8528.83984375,8635.23046875,8475.2001953125,8494.75,8494.75,3759890000
2020-04-24,8530.080078125,8642.9296875,8464.419921875,8634.51953125,8634.51953125,3696020000
2020-04-27,8717.98046875,8754.5703125,8697.3701171875,8730.16015625,8730.16015625,3694980000
2020-04-28,8825.6904296875,8830.5703125,8600.7001953125,8607.73046875,8607.73046875,3730350000
